"Isotope"	"Halflife"	"Abundance"
"99m1Ag"	3.32952815829528e-07	NA
"100Ag"	3.82420091324201e-06	NA
"100m1Ag"	4.26179604261796e-06	NA
"101Ag"	2.11187214611872e-05	NA
"101m1Ag"	9.83003551496702e-08	NA
"102Ag"	2.45433789954338e-05	NA
"102m1Ag"	1.46499238964992e-05	NA
"103Ag"	0.000125	NA
"103m1Ag"	1.80745814307458e-07	NA
"104Ag"	0.000131659056316591	NA
"104m1Ag"	6.37366818873668e-05	NA
"105Ag"	0.113123287671233	NA
"105m1Ag"	1.37557077625571e-05	NA
"106Ag"	4.558599695586e-05	NA
"106m1Ag"	0.0226849315068493	NA
"107m1Ag"	1.40474378488077e-06	NA
"108Ag"	4.50913242009132e-06	NA
"108m1Ag"	418	NA
"109m1Ag"	1.25570776255708e-06	NA
"110Ag"	7.80060882800609e-07	NA
"110m1Ag"	0.684356164383562	NA
"111Ag"	0.0204109589041096	NA
"111m1Ag"	2.05479452054795e-06	NA
"112Ag"	0.000357305936073059	NA
"113Ag"	0.000613013698630137	NA
"113m1Ag"	2.17846270928463e-06	NA
"114Ag"	1.45865043125317e-07	NA
"115Ag"	3.80517503805175e-05	NA
"115m1Ag"	5.70776255707763e-07	NA
"116Ag"	5.09893455098935e-06	NA
"116m1Ag"	2.72704211060375e-07	NA
"117Ag"	2.30847285641806e-06	NA
"117m1Ag"	1.69330289193303e-07	NA
"118Ag"	1.19228817858955e-07	NA
"118m1Ag"	6.34195839675292e-08	NA
"119Ag"	6.65905631659056e-08	NA
"119m1Ag"	1.90258751902588e-07	NA
"120Ag"	3.90030441400304e-08	NA
"120m1Ag"	1.01471334348047e-08	NA
"121Ag"	2.47336377473364e-08	NA
"122Ag"	1.5220700152207e-08	NA
"122m1Ag"	4.75646879756469e-08	NA
"123Ag"	9.79832572298326e-09	NA
"124Ag"	5.45408422120751e-09	NA
"97Cd"	9.51293759512938e-08	NA
"98Cd"	2.91730086250634e-07	NA
"99Cd"	5.07356671740233e-07	NA
"100Cd"	1.55695078640284e-06	NA
"101Cd"	2.58751902587519e-06	NA
"102Cd"	1.04642313546423e-05	NA
"103Cd"	1.38888888888889e-05	NA
"104Cd"	0.000109779299847793	NA
"105Cd"	0.000105593607305936	NA
"107Cd"	0.000742009132420091	NA
"109Cd"	1.26739726027397	NA
"111m1Cd"	9.2351598173516e-05	NA
"113Cd"	7.7e+15	12.22
"113m1Cd"	14.1	NA
"115Cd"	0.0061027397260274	NA
"115m1Cd"	0.122191780821918	NA
"117Cd"	0.000284246575342466	NA
"117m1Cd"	0.000383561643835616	NA
"118Cd"	9.57001522070015e-05	NA
"119Cd"	5.1179604261796e-06	NA
"119m1Cd"	4.18569254185693e-06	NA
"120Cd"	1.61085743277524e-06	NA
"121Cd"	4.28082191780822e-07	NA
"121m1Cd"	2.63191273465246e-07	NA
"122Cd"	1.66159309994926e-07	NA
"123Cd"	6.65905631659056e-08	NA
"123m1Cd"	5.77118214104515e-08	NA
"124Cd"	3.96372399797057e-08	NA
"125Cd"	2.0611364789447e-08	NA
"125m1Cd"	1.80745814307458e-08	NA
"126Cd"	1.60451547437849e-08	NA
"127Cd"	1.17326230339929e-08	NA
"128Cd"	1.078132927448e-08	NA
"129Cd"	8.56164383561644e-09	NA
"130Cd"	6.34195839675292e-09	NA
"100In"	2.21968543886352e-07	NA
"101In"	4.78817858954845e-07	NA
"102In"	6.97615423642821e-07	NA
"103In"	2.0611364789447e-06	NA
"103m1In"	1.078132927448e-06	NA
"104In"	3.42465753424658e-06	NA
"104m1In"	4.97843734145104e-07	NA
"105In"	9.64611872146119e-06	NA
"105m1In"	1.5220700152207e-06	NA
"106In"	1.17960426179604e-05	NA
"106m1In"	9.89345509893455e-06	NA
"107In"	6.16438356164384e-05	NA
"107m1In"	1.59817351598174e-06	NA
"108In"	0.000110350076103501	NA
"108m1In"	7.53424657534247e-05	NA
"109In"	0.000479452054794521	NA
"109m1In"	2.54946727549467e-06	NA
"109m2In"	6.6273465246068e-09	NA
"110In"	0.000559360730593607	NA
"110m1In"	0.000131468797564688	NA
"111In"	0.0076841095890411	NA
"111m1In"	1.46499238964992e-05	NA
"112In"	2.84817351598174e-05	NA
"112m1In"	3.9117199391172e-05	NA
"113m1In"	0.000189292237442922	NA
"114In"	2.27993404363267e-06	NA
"114m1In"	0.135643835616438	NA
"115In"	4.41e+14	95.7
"115m1In"	0.000512100456621004	NA
"116In"	4.47108066971081e-07	NA
"116m1In"	0.000103291476407915	NA
"116m2In"	6.91273465246068e-08	NA
"117In"	8.21917808219178e-05	NA
"117m1In"	0.000221080669710807	NA
"118In"	1.58548959918823e-07	NA
"118m1In"	8.46651445966514e-06	NA
"118m2In"	2.69533231861999e-07	NA
"119In"	4.5662100456621e-06	NA
"119m1In"	3.42465753424658e-05	NA
"120In"	9.76661593099949e-08	NA
"120m1In"	1.46499238964992e-06	NA
"120m2In"	1.49987316083206e-06	NA
"121In"	7.32496194824962e-07	NA
"121m1In"	7.3820395738204e-06	NA
"122In"	4.75646879756469e-08	NA
"122m1In"	3.26610857432775e-07	NA
"122m2In"	3.42465753424658e-07	NA
"123In"	1.89624556062912e-07	NA
"123m1In"	1.51572805682395e-06	NA
"124In"	9.86174530695079e-08	NA
"124m1In"	1.17326230339929e-07	NA
"125In"	7.48351090816844e-08	NA
"125m1In"	3.86859462201928e-07	NA
"126In"	5.07356671740233e-08	NA
"126m1In"	5.20040588533739e-08	NA
"127In"	3.45636732623034e-08	NA
"127m1In"	1.16374936580416e-07	NA
"128In"	2.66362252663623e-08	NA
"128m1In"	2.28310502283105e-08	NA
"129In"	1.93429731100964e-08	NA
"129m1In"	3.90030441400304e-08	NA
"130In"	1.01471334348047e-08	NA
"130m1In"	1.74403855910705e-08	NA
"130m2In"	1.74403855910705e-08	NA
"131In"	8.94216133942161e-09	NA
"131m1In"	1.10984271943176e-08	NA
"131m2In"	1.01471334348047e-08	NA
"132In"	6.37366818873668e-09	NA
"100Sn"	2.98072044647387e-08	NA
"101Sn"	9.51293759512938e-08	NA
"102Sn"	1.42694063926941e-07	NA
"103Sn"	2.21968543886352e-07	NA
"104Sn"	6.59563673262303e-07	NA
"105Sn"	9.83003551496702e-07	NA
"106Sn"	3.64662607813293e-06	NA
"107Sn"	5.51750380517504e-06	NA
"108Sn"	1.95966514459665e-05	NA
"109Sn"	3.42465753424658e-05	NA
"110Sn"	0.000469178082191781	NA
"111Sn"	6.71613394216134e-05	NA
"113Sn"	0.315315068493151	NA
"113m1Sn"	4.07153729071537e-05	NA
"117m1Sn"	0.0372602739726027	NA
"119m1Sn"	0.803013698630137	NA
"121Sn"	0.00308904109589041	NA
"121m1Sn"	55	NA
"123Sn"	0.353972602739726	NA
"123m1Sn"	7.62176560121766e-05	NA
"125Sn"	0.0264109589041096	NA
"125m1Sn"	1.81126331811263e-05	NA
"126Sn"	1e+05	NA
"127Sn"	0.00023972602739726	NA
"127m1Sn"	7.85768645357686e-06	NA
"128Sn"	0.000112385844748858	NA
"128m1Sn"	2.0611364789447e-07	NA
"129Sn"	4.2427701674277e-06	NA
"129m1Sn"	1.31278538812785e-05	NA
"130Sn"	7.07762557077626e-06	NA
"130m1Sn"	3.23439878234399e-06	NA
"131Sn"	1.77574835109082e-06	NA
"131m1Sn"	1.85185185185185e-06	NA
"132Sn"	1.25887874175545e-06	NA
"133Sn"	4.59791983764586e-08	NA
"134Sn"	3.55149670218163e-08	NA
"104Sb"	1.39523084728564e-08	NA
"105Sb"	3.55149670218163e-08	NA
"108Sb"	2.34652460679858e-07	NA
"109Sb"	5.39066463723998e-07	NA
"110Sb"	7.29325215626585e-07	NA
"111Sb"	2.37823439878234e-06	NA
"112Sb"	1.6298833079655e-06	NA
"113Sb"	1.26902587519026e-05	NA
"114Sb"	6.6400304414003e-06	NA
"115Sb"	6.10730593607306e-05	NA
"116Sb"	3.00608828006088e-05	NA
"116m1Sb"	0.00011472602739726	NA
"117Sb"	0.000319634703196347	NA
"118Sb"	6.84931506849315e-06	NA
"118m1Sb"	0.000570776255707763	NA
"119Sb"	0.00435958904109589	NA
"119m1Sb"	2.69533231861999e-08	NA
"120Sb"	3.02321156773212e-05	NA
"120m1Sb"	0.0157808219178082	NA
"122Sb"	0.00746246575342466	NA
"122m1Sb"	7.97374429223744e-06	NA
"124Sb"	0.164931506849315	NA
"124m1Sb"	2.94901065449011e-06	NA
"124m2Sb"	3.84322678843227e-05	NA
"125Sb"	2.7582	NA
"126Sb"	0.0341369863013699	NA
"126m1Sb"	3.64345509893455e-05	NA
"126m2Sb"	3.4880771182141e-07	NA
"127Sb"	0.0105479452054795	NA
"128Sb"	0.00102853881278539	NA
"128m1Sb"	1.97869101978691e-05	NA
"129Sb"	0.000502283105022831	NA
"129m1Sb"	3.3675799086758e-05	NA
"130Sb"	7.51522070015221e-05	NA
"130m1Sb"	1.1986301369863e-05	NA
"131Sb"	4.38165905631659e-05	NA
"132Sb"	5.30821917808219e-06	NA
"132m1Sb"	7.80060882800609e-06	NA
"133Sb"	4.75646879756469e-06	NA
"134Sb"	2.47336377473364e-08	NA
"134m1Sb"	3.24391171993912e-07	NA
"135Sb"	5.42237442922374e-08	NA
"136Sb"	2.6002029426687e-08	NA
"108Te"	6.65905631659056e-08	NA
"109Te"	1.45865043125317e-07	NA
"110Te"	5.89802130898021e-07	NA
"111Te"	6.11998985286657e-07	NA
"112Te"	3.80517503805175e-06	NA
"113Te"	3.23439878234399e-06	NA
"114Te"	2.89193302891933e-05	NA
"115Te"	1.10350076103501e-05	NA
"115m1Te"	1.27473363774734e-05	NA
"116Te"	0.000284246575342466	NA
"117Te"	0.000117960426179604	NA
"118Te"	0.0164383561643836	NA
"119Te"	0.00182990867579909	NA
"119m1Te"	0.0128767123287671	NA
"121Te"	0.045972602739726	NA
"121m1Te"	0.421917808219178	NA
"123Te"	1e+13	0.908
"123m1Te"	0.327945205479452	NA
"125m1Te"	0.157260273972603	NA
"127Te"	0.00106735159817352	NA
"127m1Te"	0.298630136986301	NA
"128Te"	2.2e+24	31.69
"129Te"	0.000132420091324201	NA
"129m1Te"	0.0920547945205479	NA
"130Te"	7.9e+20	33.8
"131Te"	4.75646879756469e-05	NA
"131m1Te"	0.00342465753424658	NA
"132Te"	0.00877808219178082	NA
"133Te"	2.37823439878234e-05	NA
"133m1Te"	0.000105403348554033	NA
"134Te"	7.95281582952816e-05	NA
"135Te"	6.02486047691527e-07	NA
"136Te"	5.5492135971588e-07	NA
"137Te"	7.89573820395738e-08	NA
"138Te"	4.43937087772704e-08	NA
"110I"	2.0611364789447e-08	NA
"111I"	7.92744799594115e-08	NA
"112I"	1.08447488584475e-07	NA
"113I"	2.09284627092846e-07	NA
"114I"	6.65905631659056e-08	NA
"114m1I"	1.9660071029934e-07	NA
"115I"	2.47336377473364e-06	NA
"116I"	9.2275494672755e-08	NA
"117I"	4.22374429223744e-06	NA
"118I"	2.60654490106545e-05	NA
"118m1I"	1.61719939117199e-05	NA
"119I"	3.63394216133942e-05	NA
"120I"	0.000154109589041096	NA
"120m1I"	0.000100837138508371	NA
"121I"	0.000242009132420091	NA
"122I"	6.90639269406393e-06	NA
"123I"	0.0015148401826484	NA
"124I"	0.011441095890411	NA
"125I"	0.162761643835616	NA
"126I"	0.0359178082191781	NA
"128I"	4.75456621004566e-05	NA
"129I"	15700000	NA
"130I"	0.00141095890410959	NA
"130m1I"	1.71232876712329e-05	NA
"131I"	0.0219745205479452	NA
"132I"	0.000261986301369863	NA
"132m1I"	0.000158333333333333	NA
"133I"	0.00237442922374429	NA
"133m1I"	2.85388127853881e-07	NA
"134I"	9.98858447488585e-05	NA
"134m1I"	6.84931506849315e-06	NA
"135I"	0.00075	NA
"136I"	2.64459665144597e-06	NA
"136m1I"	1.48718924403856e-06	NA
"137I"	7.76889903602232e-07	NA
"138I"	2.05796549974632e-07	NA
"139I"	7.26154236428209e-08	NA
"140I"	2.72704211060375e-08	NA
"141I"	1.36352105530188e-08	NA
"111Xe"	2.34652460679858e-08	NA
"112Xe"	8.56164383561644e-08	NA
"113Xe"	8.6884830035515e-08	NA
"114Xe"	3.17097919837646e-07	NA
"115Xe"	5.70776255707763e-07	NA
"116Xe"	1.87087772704211e-06	NA
"117Xe"	1.93429731100964e-06	NA
"118Xe"	7.22983257229833e-06	NA
"119Xe"	1.10350076103501e-05	NA
"120Xe"	7.6103500761035e-05	NA
"121Xe"	7.62937595129376e-05	NA
"122Xe"	0.00229452054794521	NA
"123Xe"	0.000237442922374429	NA
"124Xe"	1.6e+14	0.1
"125Xe"	0.00192922374429224	NA
"125m1Xe"	1.80745814307458e-06	NA
"127Xe"	0.0997260273972603	NA
"127m1Xe"	2.19431760527651e-06	NA
"129m1Xe"	0.0243287671232877	NA
"131m1Xe"	0.0324383561643836	NA
"133Xe"	0.0143643835616438	NA
"133m1Xe"	0.006	NA
"135Xe"	0.00104337899543379	NA
"135m1Xe"	2.90905631659056e-05	NA
"136Xe"	2.36e+21	8.9
"137Xe"	7.26407914764079e-06	NA
"138Xe"	2.67884322678843e-05	NA
"139Xe"	1.25824454591578e-06	NA
"140Xe"	4.31253170979198e-07	NA
"141Xe"	5.48579401319127e-08	NA
"142Xe"	3.86859462201928e-08	NA
"143Xe"	9.51293759512938e-09	NA
"144Xe"	3.64662607813293e-08	NA
"145Xe"	2.85388127853881e-08	NA
"114Cs"	1.80745814307458e-08	NA
"115Cs"	4.43937087772704e-08	NA
"116Cs"	1.21765601217656e-07	NA
"116m1Cs"	2.21968543886352e-08	NA
"117Cs"	2.66362252663623e-07	NA
"117m1Cs"	2.0611364789447e-07	NA
"118Cs"	4.43937087772704e-07	NA
"118m1Cs"	5.39066463723998e-07	NA
"119Cs"	1.36352105530188e-06	NA
"119m1Cs"	9.63977676306443e-07	NA
"120Cs"	2.02942668696093e-06	NA
"120m1Cs"	1.80745814307458e-06	NA
"121Cs"	4.91501775748351e-06	NA
"121m1Cs"	3.86859462201928e-06	NA
"122Cs"	6.65905631659056e-07	NA
"122m1Cs"	7.03957382039574e-06	NA
"122m2Cs"	1.14155251141553e-08	NA
"123Cs"	1.13013698630137e-05	NA
"123m1Cs"	5.20040588533739e-08	NA
"124Cs"	9.76661593099949e-07	NA
"124m1Cs"	1.99771689497717e-07	NA
"125Cs"	8.56164383561644e-05	NA
"126Cs"	3.12024353120244e-06	NA
"127Cs"	0.000713470319634703	NA
"128Cs"	6.9634703196347e-06	NA
"129Cs"	0.00365981735159817	NA
"130Cs"	5.55745814307458e-05	NA
"130m1Cs"	6.58295281582953e-06	NA
"131Cs"	0.0265452054794521	NA
"132Cs"	0.0177506849315069	NA
"134Cs"	2.0648	NA
"134m1Cs"	0.000331392694063927	NA
"135Cs"	2300000	NA
"135m1Cs"	0.000100837138508371	NA
"136Cs"	0.0360547945205479	NA
"136m1Cs"	6.02486047691527e-07	NA
"137Cs"	30.07	NA
"138Cs"	6.35654490106545e-05	NA
"138m1Cs"	5.5365296803653e-06	NA
"139Cs"	1.76369863013699e-05	NA
"140Cs"	2.0199137493658e-06	NA
"141Cs"	7.90842212075089e-07	NA
"142Cs"	5.39066463723998e-08	NA
"143Cs"	5.6443429731101e-08	NA
"144Cs"	3.20268899036022e-08	NA
"144m1Cs"	3.17097919837646e-08	NA
"145Cs"	1.88356164383562e-08	NA
"146Cs"	1.01788432267884e-08	NA
"147Cs"	7.13470319634703e-09	NA
"114Ba"	1.36352105530188e-08	NA
"115Ba"	1.26839167935058e-08	NA
"116Ba"	9.51293759512938e-09	NA
"117Ba"	5.5492135971588e-08	NA
"118Ba"	1.74403855910705e-07	NA
"119Ba"	1.71232876712329e-07	NA
"120Ba"	1.01471334348047e-06	NA
"121Ba"	9.41780821917808e-07	NA
"122Ba"	3.71004566210046e-06	NA
"123Ba"	5.13698630136986e-06	NA
"124Ba"	2.09284627092846e-05	NA
"125Ba"	6.65905631659056e-06	NA
"126Ba"	0.000190258751902588	NA
"127Ba"	2.41628614916286e-05	NA
"127m1Ba"	6.02486047691527e-08	NA
"128Ba"	0.00665753424657534	NA
"129Ba"	0.000254566210045662	NA
"129m1Ba"	0.000246575342465753	NA
"131Ba"	0.0315068493150685	NA
"131m1Ba"	2.77777777777778e-05	NA
"133Ba"	10.51	NA
"133m1Ba"	0.00444063926940639	NA
"135m1Ba"	0.00327625570776256	NA
"136m1Ba"	9.779299847793e-09	NA
"137m1Ba"	4.85540334855403e-06	NA
"139Ba"	0.000158028919330289	NA
"140Ba"	0.0349369863013699	NA
"141Ba"	3.47602739726027e-05	NA
"142Ba"	2.01674277016743e-05	NA
"143Ba"	4.54401319127347e-07	NA
"144Ba"	3.64662607813293e-07	NA
"145Ba"	1.36669203450025e-07	NA
"146Ba"	7.03957382039574e-08	NA
"147Ba"	2.83168442415018e-08	NA
"148Ba"	1.92478437341451e-08	NA
"149Ba"	1.0908168442415e-08	NA
"150Ba"	9.51293759512938e-09	NA
"120La"	8.87874175545408e-08	NA
"121La"	1.68061897513952e-07	NA
"122La"	2.75875190258752e-07	NA
"123La"	5.39066463723998e-07	NA
"124La"	9.19583967529173e-07	NA
"124m1La"	3.17097919837646e-08	NA
"125La"	2.40994419076611e-06	NA
"126La"	1.71232876712329e-06	NA
"127La"	9.70319634703196e-06	NA
"127m1La"	7.03957382039574e-06	NA
"128La"	9.51293759512938e-06	NA
"129La"	2.20700152207002e-05	NA
"129m1La"	1.77574835109082e-08	NA
"130La"	1.65525114155251e-05	NA
"131La"	0.000112252663622527	NA
"132La"	0.000547945205479452	NA
"132m1La"	4.62328767123288e-05	NA
"133La"	0.000446575342465753	NA
"134La"	1.22716894977169e-05	NA
"135La"	0.00222602739726027	NA
"136La"	1.87785388127854e-05	NA
"137La"	60000	NA
"138La"	1.05e+11	0.0902
"140La"	0.00459753424657534	NA
"141La"	0.000447488584474886	NA
"142La"	0.000173325722983257	NA
"143La"	2.70167427701674e-05	NA
"144La"	1.2937595129376e-06	NA
"145La"	7.86402841197362e-07	NA
"146La"	1.98820395738204e-07	NA
"146m1La"	3.17097919837646e-07	NA
"147La"	1.27314814814815e-07	NA
"148La"	3.32952815829528e-08	NA
"149La"	3.32952815829528e-08	NA
"150La"	2.72704211060375e-08	NA
"123Ce"	1.01471334348047e-07	NA
"124Ce"	1.90258751902588e-07	NA
"125Ce"	2.85388127853881e-07	NA
"126Ce"	1.58548959918823e-06	NA
"127Ce"	9.83003551496702e-07	NA
"128Ce"	1.30010147133435e-07	NA
"129Ce"	6.65905631659056e-06	NA
"130Ce"	4.75646879756469e-05	NA
"131Ce"	1.94063926940639e-05	NA
"131m1Ce"	9.51293759512938e-06	NA
"132Ce"	0.000400684931506849	NA
"133Ce"	0.00018455098934551	NA
"133m1Ce"	0.000559360730593607	NA
"134Ce"	0.00865753424657534	NA
"135Ce"	0.00202054794520548	NA
"135m1Ce"	6.34195839675292e-07	NA
"137Ce"	0.00102739726027397	NA
"137m1Ce"	0.00392694063926941	NA
"139Ce"	0.377095890410959	NA
"139m1Ce"	1.7376966007103e-06	NA
"141Ce"	0.0890438356164383	NA
"142Ce"	5e+16	11.08
"143Ce"	0.00377157534246575	NA
"144Ce"	0.780528767123288	NA
"145Ce"	5.72678843226788e-06	NA
"146Ce"	2.57229832572298e-05	NA
"147Ce"	1.78843226788432e-06	NA
"148Ce"	1.77574835109082e-06	NA
"149Ce"	1.68061897513952e-07	NA
"150Ce"	1.26839167935058e-07	NA
"151Ce"	3.23439878234399e-08	NA
"152Ce"	4.43937087772704e-08	NA
"121Pr"	4.43937087772704e-08	NA
"124Pr"	3.80517503805175e-08	NA
"125Pr"	1.04642313546423e-07	NA
"126Pr"	9.95687468290208e-08	NA
"127Pr"	1.33181126331811e-07	NA
"128Pr"	9.83003551496702e-08	NA
"129Pr"	9.51293759512938e-07	NA
"130Pr"	1.26839167935058e-06	NA
"131Pr"	2.91095890410959e-06	NA
"131m1Pr"	1.80745814307458e-07	NA
"132Pr"	3.0441400304414e-06	NA
"133Pr"	1.23668188736682e-05	NA
"134Pr"	3.23439878234399e-05	NA
"134m1Pr"	2.09284627092846e-05	NA
"135Pr"	4.5662100456621e-05	NA
"136Pr"	2.4923896499239e-05	NA
"137Pr"	0.000146118721461187	NA
"138Pr"	2.75875190258752e-06	NA
"138m1Pr"	0.000242009132420091	NA
"139Pr"	0.000503424657534247	NA
"140Pr"	6.44977168949772e-06	NA
"142Pr"	0.00218264840182648	NA
"142m1Pr"	2.77777777777778e-05	NA
"143Pr"	0.0371780821917808	NA
"144Pr"	3.28767123287671e-05	NA
"144m1Pr"	1.36986301369863e-05	NA
"145Pr"	0.00068310502283105	NA
"146Pr"	4.59474885844749e-05	NA
"147Pr"	2.54946727549467e-05	NA
"148Pr"	4.31887366818874e-06	NA
"148m1Pr"	3.80517503805175e-06	NA
"149Pr"	4.29984779299848e-06	NA
"150Pr"	1.96283612379503e-07	NA
"151Pr"	5.99315068493151e-07	NA
"152Pr"	1.15106544901065e-07	NA
"153Pr"	1.35717909690512e-07	NA
"154Pr"	7.29325215626585e-08	NA
"127Nd"	5.70776255707763e-08	NA
"128Nd"	1.26839167935058e-07	NA
"129Nd"	2.21968543886352e-07	NA
"130Nd"	8.87874175545408e-07	NA
"131Nd"	8.56164383561644e-07	NA
"132Nd"	3.32952815829528e-06	NA
"133Nd"	2.21968543886352e-06	NA
"133m1Nd"	2.21968543886352e-06	NA
"134Nd"	1.61719939117199e-05	NA
"135Nd"	2.35920852359209e-05	NA
"135m1Nd"	1.04642313546423e-05	NA
"136Nd"	9.63660578386606e-05	NA
"137Nd"	7.32496194824962e-05	NA
"137m1Nd"	5.07356671740233e-08	NA
"138Nd"	0.000575342465753425	NA
"139Nd"	5.65068493150685e-05	NA
"139m1Nd"	0.000627853881278539	NA
"140Nd"	0.00923287671232877	NA
"141Nd"	0.000284246575342466	NA
"141m1Nd"	1.9660071029934e-06	NA
"144Nd"	2.29e+15	23.8
"147Nd"	0.0300821917808219	NA
"149Nd"	0.000197260273972603	NA
"150Nd"	1.1e+19	5.64
"151Nd"	2.36681887366819e-05	NA
"152Nd"	2.1689497716895e-05	NA
"153Nd"	1.00202942668696e-06	NA
"154Nd"	8.21283612379503e-07	NA
"155Nd"	2.82217148655505e-07	NA
"156Nd"	1.73452562151192e-07	NA
"130Pm"	6.97615423642821e-08	NA
"132Pm"	1.99771689497717e-07	NA
"133m1Pm"	4.75646879756469e-07	NA
"134Pm"	1.58548959918823e-07	NA
"134m1Pm"	6.97615423642821e-07	NA
"135Pm"	1.42694063926941e-06	NA
"135m1Pm"	1.55377980720446e-06	NA
"136Pm"	1.49036022323694e-06	NA
"136m1Pm"	3.39294774226281e-06	NA
"137Pm"	4.5662100456621e-06	NA
"138Pm"	3.17097919837646e-07	NA
"138m1Pm"	6.16438356164384e-06	NA
"139Pm"	7.89573820395738e-06	NA
"140Pm"	2.91730086250634e-07	NA
"140m1Pm"	1.1320395738204e-05	NA
"140m2Pm"	1.1320395738204e-05	NA
"141Pm"	3.97640791476408e-05	NA
"142Pm"	1.28424657534247e-06	NA
"143Pm"	0.726027397260274	NA
"144Pm"	0.994520547945206	NA
"145Pm"	17.7	NA
"146Pm"	5.53	NA
"147Pm"	2.6234	NA
"148Pm"	0.0147123287671233	NA
"148m1Pm"	0.113123287671233	NA
"149Pm"	0.00605936073059361	NA
"150Pm"	0.000305936073059361	NA
"151Pm"	0.00324200913242009	NA
"152Pm"	7.83866057838661e-06	NA
"152m1Pm"	1.43074581430746e-05	NA
"152m2Pm"	2.62557077625571e-05	NA
"153Pm"	9.98858447488584e-06	NA
"154Pm"	3.29147640791476e-06	NA
"154m1Pm"	5.09893455098935e-06	NA
"155Pm"	1.31595636732623e-06	NA
"156Pm"	8.46651445966514e-07	NA
"157Pm"	3.34855403348554e-07	NA
"158Pm"	1.5220700152207e-07	NA
"131Sm"	3.80517503805175e-08	NA
"132Sm"	1.26839167935058e-07	NA
"133Sm"	1.17326230339929e-07	NA
"134Sm"	3.17097919837646e-07	NA
"135Sm"	3.26610857432775e-07	NA
"136Sm"	1.49036022323694e-06	NA
"137Sm"	1.42694063926941e-06	NA
"138Sm"	5.89802130898021e-06	NA
"139Sm"	4.8896499238965e-06	NA
"139m1Sm"	3.39294774226281e-07	NA
"140Sm"	2.81963470319635e-05	NA
"141Sm"	1.94063926940639e-05	NA
"141m1Sm"	4.29984779299848e-05	NA
"142Sm"	0.000137918569254186	NA
"143Sm"	1.67998477929985e-05	NA
"143m1Sm"	2.09284627092846e-06	NA
"145Sm"	0.931506849315068	NA
"146Sm"	1.03e+08	NA
"147Sm"	1.06e+11	15
"148Sm"	7e+15	11.3
"149Sm"	2e+15	13.8
"151Sm"	90	NA
"153Sm"	0.00528356164383562	NA
"155Sm"	4.2427701674277e-05	NA
"156Sm"	0.00107305936073059	NA
"157Sm"	1.52841197361745e-05	NA
"158Sm"	1.00837138508371e-05	NA
"159Sm"	3.60540334855403e-07	NA
"160Sm"	3.0441400304414e-07	NA
"134Eu"	1.58548959918823e-08	NA
"135Eu"	4.75646879756469e-08	NA
"136Eu"	1.04642313546423e-07	NA
"136m1Eu"	1.17326230339929e-07	NA
"137Eu"	3.4880771182141e-07	NA
"138Eu"	3.83688483003551e-07	NA
"139Eu"	5.67605276509386e-07	NA
"140Eu"	4.78817858954845e-08	NA
"141Eu"	1.29058853373922e-06	NA
"141m1Eu"	8.56164383561644e-08	NA
"142Eu"	7.42009132420091e-08	NA
"142m1Eu"	2.32115677321157e-06	NA
"143Eu"	5.00380517503805e-06	NA
"144Eu"	3.23439878234399e-07	NA
"145Eu"	0.0162465753424658	NA
"146Eu"	0.0126301369863014	NA
"147Eu"	0.066027397260274	NA
"148Eu"	0.149315068493151	NA
"149Eu"	0.255068493150685	NA
"150Eu"	36.9	NA
"150m1Eu"	0.00146118721461187	NA
"152Eu"	13.537	NA
"152m1Eu"	0.00106296803652968	NA
"152m2Eu"	0.000182648401826484	NA
"154Eu"	8.593	NA
"154m1Eu"	8.8089802130898e-05	NA
"155Eu"	4.7611	NA
"156Eu"	0.0416164383561644	NA
"157Eu"	0.00173287671232877	NA
"158Eu"	8.73287671232877e-05	NA
"159Eu"	3.44368340943683e-05	NA
"160Eu"	1.20497209538305e-06	NA
"161Eu"	8.24454591577879e-07	NA
"162Eu"	3.36123795027905e-07	NA
"137Gd"	2.21968543886352e-07	NA
"139Gd"	1.55377980720446e-07	NA
"140Gd"	5.0101471334348e-07	NA
"141Gd"	4.43937087772704e-07	NA
"141m1Gd"	7.76889903602232e-07	NA
"142Gd"	2.22602739726027e-06	NA
"143Gd"	1.23668188736682e-06	NA
"143m1Gd"	3.55149670218163e-06	NA
"144Gd"	8.56164383561644e-06	NA
"145Gd"	4.37595129375951e-05	NA
"145m1Gd"	2.69533231861999e-06	NA
"146Gd"	0.132246575342466	NA
"147Gd"	0.00434474885844749	NA
"148Gd"	74.6	NA
"149Gd"	0.0254246575342466	NA
"150Gd"	1790000	NA
"151Gd"	0.33972602739726	NA
"152Gd"	1.08e+14	0.2
"153Gd"	0.658630136986301	NA
"159Gd"	0.00210947488584475	NA
"161Gd"	6.9634703196347e-06	NA
"162Gd"	1.59817351598174e-05	NA
"163Gd"	2.15626585489599e-06	NA
"164Gd"	1.42694063926941e-06	NA
"140Tb"	7.6103500761035e-08	NA
"141Tb"	1.10984271943176e-07	NA
"143Tb"	3.80517503805175e-07	NA
"143m1Tb"	6.65905631659056e-07	NA
"144Tb"	3.17097919837646e-08	NA
"144m1Tb"	1.34766615930999e-07	NA
"145m1Tb"	9.35438863521055e-07	NA
"146Tb"	2.53678335870117e-07	NA
"146m1Tb"	7.29325215626585e-07	NA
"147Tb"	0.000194063926940639	NA
"147m1Tb"	3.48173515981735e-06	NA
