"Isotope"	"Halflife"	"Abundance"
"52m1Fe"	1.45547945205479e-06	NA
"53Fe"	1.61910197869102e-05	NA
"53m1Fe"	4.90867579908676e-06	NA
"55Fe"	2.73	NA
"59Fe"	0.12192602739726	NA
"60Fe"	1500000	NA
"61Fe"	1.13774733637747e-05	NA
"62Fe"	2.15626585489599e-06	NA
"63Fe"	1.93429731100964e-07	NA
"64Fe"	6.34195839675292e-08	NA
"65Fe"	1.26839167935058e-08	NA
"68Fe"	3.17097919837646e-09	NA
"54m1Co"	2.8158295281583e-06	NA
"55Co"	0.00200114155251142	NA
"56Co"	0.211698630136986	NA
"57Co"	0.744630136986301	NA
"58Co"	0.19413698630137	NA
"58m1Co"	0.00103196347031963	NA
"60Co"	5.2714	NA
"60m1Co"	1.99143835616438e-05	NA
"61Co"	0.000188356164383562	NA
"62Co"	2.85388127853881e-06	NA
"62m1Co"	2.64649923896499e-05	NA
"63Co"	8.6884830035515e-07	NA
"64Co"	9.51293759512938e-09	NA
"65Co"	3.80517503805175e-08	NA
"66Co"	7.38838153221715e-09	NA
"67Co"	1.33181126331811e-08	NA
"68Co"	5.70776255707763e-09	NA
"69Co"	8.56164383561644e-09	NA
"56Ni"	0.0166493150684932	NA
"57Ni"	0.00406392694063927	NA
"59Ni"	76000	NA
"63Ni"	100.1	NA
"65Ni"	0.000287351598173516	NA
"66Ni"	0.00623287671232877	NA
"67Ni"	6.65905631659056e-07	NA
"68Ni"	6.02486047691527e-07	NA
"69Ni"	3.61491628614916e-07	NA
"71Ni"	5.89802130898021e-08	NA
"72Ni"	6.65905631659056e-08	NA
"73Ni"	2.21968543886352e-08	NA
"74Ni"	1.71232876712329e-08	NA
"75Ni"	1.90258751902588e-08	NA
"76Ni"	7.6103500761035e-09	NA
"58Cu"	1.01598173515982e-07	NA
"59Cu"	2.58434804667681e-06	NA
"60Cu"	4.50913242009132e-05	NA
"61Cu"	0.000380479452054795	NA
"62Cu"	1.8531202435312e-05	NA
"64Cu"	0.00144977168949772	NA
"66Cu"	9.74124809741248e-06	NA
"67Cu"	0.00705821917808219	NA
"68Cu"	9.86174530695079e-07	NA
"68m1Cu"	7.13470319634703e-06	NA
"69Cu"	5.42237442922374e-06	NA
"70Cu"	1.42694063926941e-07	NA
"70m1Cu"	1.49036022323694e-06	NA
"71Cu"	6.18340943683409e-07	NA
"72Cu"	2.09284627092846e-07	NA
"73Cu"	1.23668188736682e-07	NA
"74Cu"	5.05454084221208e-08	NA
"75Cu"	3.88127853881279e-08	NA
"76Cu"	2.03259766615931e-08	NA
"76m1Cu"	4.0271435819381e-08	NA
"60Zn"	4.52815829528158e-06	NA
"61Zn"	2.82534246575342e-06	NA
"62Zn"	0.0010486301369863	NA
"63Zn"	7.31925418569254e-05	NA
"65Zn"	0.669205479452055	NA
"69Zn"	0.000107305936073059	NA
"69m1Zn"	0.00157077625570776	NA
"70Zn"	5e+14	0.6
"71Zn"	4.66133942161339e-06	NA
"71m1Zn"	0.000452054794520548	NA
"72Zn"	0.00530821917808219	NA
"73Zn"	7.45180111618468e-07	NA
"73m1Zn"	1.83916793505835e-07	NA
"74Zn"	3.03145611364789e-06	NA
"75Zn"	3.23439878234399e-07	NA
"76Zn"	1.80745814307458e-07	NA
"77Zn"	6.59563673262303e-08	NA
"77m1Zn"	3.32952815829528e-08	NA
"78Zn"	4.66133942161339e-08	NA
"80Zn"	1.72818366311517e-08	NA
"81Zn"	9.19583967529173e-09	NA
"61Ga"	4.75646879756469e-09	NA
"63Ga"	1.02739726027397e-06	NA
"64Ga"	4.99809741248097e-06	NA
"65Ga"	2.89193302891933e-05	NA
"66Ga"	0.00108333333333333	NA
"67Ga"	0.00893479452054794	NA
"68Ga"	0.000128670091324201	NA
"70Ga"	4.0220700152207e-05	NA
"72Ga"	0.00160958904109589	NA
"73Ga"	0.000554794520547945	NA
"74Ga"	1.54490106544901e-05	NA
"74m1Ga"	3.01243023845764e-07	NA
"75Ga"	3.99543378995434e-06	NA
"76Ga"	1.03373921867073e-06	NA
"77Ga"	4.18569254185693e-07	NA
"78Ga"	1.61402841197362e-07	NA
"79Ga"	9.02777777777778e-08	NA
"80Ga"	5.38115169964485e-08	NA
"81Ga"	3.85908168442415e-08	NA
"82Ga"	1.8994165398275e-08	NA
"83Ga"	9.83003551496702e-09	NA
"64Ge"	2.0199137493658e-06	NA
"65Ge"	9.79832572298326e-07	NA
"66Ge"	0.000257990867579909	NA
"67Ge"	3.5958904109589e-05	NA
"68Ge"	0.741917808219178	NA
"69Ge"	0.00445776255707763	NA
"71Ge"	0.0313150684931507	NA
"73m1Ge"	1.58231861998985e-08	NA
"75Ge"	0.000157496194824962	NA
"75m1Ge"	1.51255707762557e-06	NA
"77Ge"	0.00128995433789954	NA
"77m1Ge"	1.67744799594115e-06	NA
"78Ge"	0.000167427701674277	NA
"79Ge"	6.01851851851852e-07	NA
"79m1Ge"	1.23668188736682e-06	NA
"80Ge"	9.35438863521055e-07	NA
"81Ge"	2.40994419076611e-07	NA
"81m1Ge"	2.40994419076611e-07	NA
"82Ge"	1.45865043125317e-07	NA
"83Ge"	5.86631151699645e-08	NA
"65As"	6.02486047691527e-09	NA
"67As"	1.34766615930999e-06	NA
"68As"	4.80720446473871e-06	NA
"69As"	2.89193302891933e-05	NA
"70As"	0.000100076103500761	NA
"71As"	0.00745205479452055	NA
"72As"	0.00296803652968037	NA
"73As"	0.22	NA
"74As"	0.0486849315068493	NA
"76As"	0.00295287671232877	NA
"77As"	0.00443264840182648	NA
"78As"	0.000172564687975647	NA
"79As"	1.71423135464231e-05	NA
"80As"	4.81988838153222e-07	NA
"81As"	1.05593607305936e-06	NA
"82As"	6.05657026889904e-07	NA
"82m1As"	4.31253170979198e-07	NA
"83As"	4.24911212582445e-07	NA
"84As"	1.42694063926941e-07	NA
"85As"	6.40854895991882e-08	NA
"86As"	2.99657534246575e-08	NA
"87As"	1.5220700152207e-08	NA
"68Se"	1.12569761542364e-06	NA
"69Se"	8.6884830035515e-07	NA
"70Se"	7.81963470319635e-05	NA
"71Se"	9.01826484018265e-06	NA
"72Se"	0.023013698630137	NA
"73Se"	0.0008162100456621	NA
"73m1Se"	7.57229832572298e-05	NA
"75Se"	0.328161643835616	NA
"77m1Se"	5.50481988838153e-07	NA
"79Se"	1130000	NA
"79m1Se"	7.45814307458143e-06	NA
"81Se"	3.51027397260274e-05	NA
"81m1Se"	0.000108980213089802	NA
"82Se"	1.08e+20	8.73
"83Se"	4.2427701674277e-05	NA
"83m1Se"	2.2228564180619e-06	NA
"84Se"	5.89802130898021e-06	NA
"85Se"	1.00520040588534e-06	NA
"86Se"	4.85159817351598e-07	NA
"87Se"	1.67744799594115e-07	NA
"88Se"	4.85159817351598e-08	NA
"89Se"	1.30010147133435e-08	NA
"91Se"	8.56164383561644e-09	NA
"70m1Br"	6.97615423642821e-08	NA
"71Br"	6.78589548452562e-07	NA
"72Br"	2.4923896499239e-06	NA
"72m1Br"	3.36123795027905e-07	NA
"73Br"	6.46879756468798e-06	NA
"74Br"	4.83257229832572e-05	NA
"74m1Br"	8.75190258751903e-05	NA
"75Br"	0.000183980213089802	NA
"76Br"	0.00184931506849315	NA
"76m1Br"	4.15398274987316e-08	NA
"77Br"	0.00651095890410959	NA
"77m1Br"	8.14307458143075e-06	NA
"78Br"	1.22907153729072e-05	NA
"79m1Br"	1.54109589041096e-07	NA
"80Br"	3.36377473363775e-05	NA
"80m1Br"	0.000504623287671233	NA
"82Br"	0.0040296803652968	NA
"82m1Br"	1.16628614916286e-05	NA
"83Br"	0.000273972602739726	NA
"84Br"	6.05022831050228e-05	NA
"84m1Br"	1.14155251141553e-05	NA
"85Br"	5.51750380517504e-06	NA
"86Br"	1.74720953830543e-06	NA
"87Br"	1.76306443429731e-06	NA
"88Br"	5.18138001014713e-07	NA
"89Br"	1.37874175545408e-07	NA
"90Br"	6.05657026889904e-08	NA
"91Br"	1.71549974632166e-08	NA
"92Br"	1.08764586504313e-08	NA
"72Kr"	5.45408422120751e-07	NA
"73Kr"	8.56164383561644e-07	NA
"74Kr"	2.18797564687976e-05	NA
"75Kr"	8.18112633181126e-06	NA
"76Kr"	0.00168949771689498	NA
"77Kr"	0.000141552511415525	NA
"79Kr"	0.004	NA
"79m1Kr"	1.58548959918823e-06	NA
"81Kr"	229000	NA
"81m1Kr"	4.15398274987316e-07	NA
"83m1Kr"	0.000208904109589041	NA
"85Kr"	10.756	NA
"85m1Kr"	0.000511415525114155	NA
"87Kr"	0.000145167427701674	NA
"88Kr"	0.000324200913242009	NA
"89Kr"	5.99315068493151e-06	NA
"90Kr"	1.02486047691527e-06	NA
"91Kr"	2.71752917300863e-07	NA
